,(90% Positive Rating),Alternative EANs,Brand,Condition,EAN-13,EAN-8,Expirable,Fragrance Family,Fragrance Line,Fragrance Notes,Fragrance Type,GTIN-14,Item EAN,Perfume Name ,Product name,Product rating,Seller Note,Size,Sold by,Targeted Group,Type,UPC-A,UPC-E,original,product review,quantity,recommends,save,sell price,users rating,ÙƒÙ„ Ù…Ù†ØªØ¬Ø§ØªÙ†Ø§ Ø§ØµÙ„ÙŠÙ‡ Ù¡Ù Ù % Ù‚Ù… Ø¨Ø²ÙŠØ§Ø±Ø© Ù…ØªØ¬Ø±Ù†Ø§ Ø¨Ø¸ØºØ· Ø¹Ù„Ù‰ Ø§Ø³Ù… Ø§Ù„Ù…ØªØ¬Ø± ÙˆØ§Ø¶Ø§Ù�Ø© Ø§Ù„Ù…Ù†ØªØ¬Ø§Øª Ù…Ù†Ù‡ Ø³ÙˆÙ� ØªØµÙ„Ùƒ Ù�ÙŠ Ø´Ø­Ù†Ù‡ ÙˆØ§Ø­Ø¯Ù‡
13,,,Calvin Klein,New,,,,Citrus,,,Eau de Toilette,,2724280370728,CK One,"CK One by Calvin Klein for Women - Eau de Toilette, 200ml",4.5 out of 5,Ø§Ø¶ØºØ·Ùˆ Ø¹Ù„Ù‰ Ø§Ø³Ù… Ø§Ù„Ù…ØªØ¬Ø± Seoof Ù„Ù„Ù…Ø²ÙŠØ¯ Ù…Ù† Ø§Ù„Ø¹Ø±ÙˆØ¶ Check out Seoof for more offers,200ml,SEOOF,Women,,,,143.85,16,"['200ml', '100ml']",100,44.85,99.00,49.0,
14,,,Dolce & Gabbana,New,,,,Woody Spicy,,,Eau De Parfum,,2724314207297,The One,"The One by Dolce & Gabbana for Men - Eau de Parfum, 150ml",4.2 out of 5,,150ml,AMLAQ,Men,,737052950310,,549.00,93,"['150ml', '100ml', '50ml']",91.3,214.58,334.42,289.0,
15,,,Bvlgari,New,7833204825020.0,,,Floral Aquatic,,"Top Notes: Bergamot, Salt, Ginger
Middle Notes: Magnolia, Quince
Base Notes: Woody Notes, Amber, Beeswax",Eau de Toilette,,2724323304642,Aqua Divina,"Aqua Divina by Bvlgari for Women - Eau de Toilette, 65ml",4.5 out of 5,,65ml,SPIGEN-SA,Women,,783320482502,,257.00,10,"['65ml', '40ml']",100,118.0,139.00,69.0,
16,,,Lancome,New,3605532612836.0,,,Floral,,,Eau de Parfum,,2724271510942,La Vie Est Belle ,"La Vie Est Belle by Lancome for Women - Eau de Parfum, 75ml",4.6 out of 5,,75ml,King-Perfume,Women,,,,524.00,97,"['75ml', '100ml', '50ml']",95.8,234.17,289.83,426.0,
17,,,Gucci,New,7370529251270.0,,,Floral,,"Top Notes: Bergamot
Middle Notes: Ylang-Ylang, Casablanca Lily, Orange Blossom
Base Notes: Amber, Sandalwood, Tahitian Vanilla",Eau De Parfum,,2724310824634,Bamboo,"Bamboo by Gucci for Women - Eau de Parfum, 50ml",4.3 out of 5,,50ml,WARDAT45,Women,,,,433.00,5,"['75ml', '50ml']",100,223.0,210.00,31.0,
18,,2724290623029.0,Hugo Boss,New,737052714028.0,,,,,,Eau de Toilette,,2724289894423,,"Just Different by Hugo Boss for Men - Eau de Toilette, 125ml",4.1 out of 5,,125ml,AMLAQ,Men,,737052714028,,282.00,15,"['125ml', '75ml', '100ml', '150ml', '200ml']",83.3,139.76,142.24,106.0,
19,,,Dolce & Gabbana,New,737052952659.0,,,Oriental & Spicy,,"Top Notes: Cardamom, Basil
Middle Notes: Pear Wood, Nutmeg 
Base Notes: Sandalwood, Cedar, Amber, Labdanum",Eau De Parfum,,2724316425606,The One Royal Night,"The One Royal Night by Dolce & Gabbana for Men - Eau De Parfum, 150ml",4.5 out of 5,,150ml,King-Perfume,Men,,737052952659,,625.00,18,"['150ml', '100ml']",100,311.5,313.50,77.0,
20,,,Dolce & Gabbana,New,7370528841720.0,,,Floral,,"Top Notes: Neroli, Papaya flower, Apple, Peach
Middle Notes: Water Lily, Amaryllis, Narcissus
Base Notes: Cashmere Wood, Sandalwood, Musk",Eau de Toilette,,2724312034147,Dolce Floral Drops,"Dolce Floral Drops by Dolce & Gabbana for Women - Eau de Toilette, 75ml",4.6 out of 5,,75ml,King-Perfume,Women,,,,304.00,16,"['75ml', '50ml']",100,90.3,213.70,62.0,
21,,2724265814537.0,Hugo Boss,,737052031415.0,,,Oriental & Spicy,,"Top Notes: Orange, Ginger, Grapefruit, Lemon, Lime
Middle Notes: Mahogany, Cypress, Sage, Geranium, Cardamom
Base Notes: Patchouli, Benzoin, Vetiver, Top Notes: Orange, Ginger, Grapefruit, Lemon, Lime
Middle Notes: Mahogany, Cypress, Sage, Geranium, Cardamom
Base Notes: Patchouli, Benzoin, Vetiver, Cedar, VanillaÂ Read more",Eau de Toilette,,2724267190912,Hugo Dark Blue,not present,4.3 out of 5,,75ml,,Men,,737052031415,,252.00,70,['75ml'],89.7,115.0,137.00,273.0,
22,,2724259641477.0,Hugo Boss,New,,,,Oriental,,"Star Anise, Bergamot, Mandarin, Lavender, Coriander, Cinnamon, Vetyver, Tamboti Woods, Amber, and Musk",Eau de Toilette,,2724295943122,,"Soul by Hugo Boss for Men - Eau de Toilette, 90ml",3.8 out of 5,,90ml,Boutique.perfect,Men,,737052373034,,346.00,22,"['90ml', '50ml']",100,205.1,140.90,81.0,
23,,2724268238729.0,Davidoff,New,6073401888480.0,,,Woody Aromatic,,"Top Notes: Bergamot, Lemon
Middle Notes: Galbanum, Clary Sage
Base Notes: Oakmoss, Cedar",Eau de Toilette,,2724268096466,Champion,"Champion by Davidoff for Men - Eau de Toilette, 90ml",4.5 out of 5,,90ml,AMLAQ,Men,,,,not present,24,"['90ml', '110ml', '50ml']",76.9,-70.97,70.97,111.0,
24,,2724265899435.0,Christian Dior,New,3348900606715.0,3348900606715.0,,Floral & Fruity,,"Top Notes: Orange, Sicilian Mandarin, Bergamot, Jasmine
Middle Notes: Orange Blossom, Gardenia
Base Notes: Sandalwood, Cedar, White Amber",Eau de Parfum,3348900606715.0,2724290669812,Christian Dior,"Pure Poison by Christian Dior for Women - Eau de Parfum, 100 ml",4.6 out of 5,,100ml,souq-shop,Women,,3348900606715,3348900606715,580.00,18,"['100ml', '50ml']",100,67.0,513.00,57.0,
25,,2724292159021.0,Burberry,,5045412844953.0,,,Oriental,,"Marin  Petit Grain, Iris, Rose Absolute  Salwood, Cashmere Wood, Vanilla, Amber and Musk",Eau de Parfum,,2724294082419, Body Gold,not present,4.4 out of 5,,60ml,,Women,,5045412844953,,not present,30,"['60ml', '80ml', '85ml']",100,-149.0,149.00,101.0,
26,,,Guerlain,New,3346470131408.0,,,Oriental,,,Eau de Parfum,,2724455672794,Mon Guerlain,"Mon Guerlain by Guerlain for Women - Eau de Parfum, 100ml",4.6 out of 5,,100ml,King-Perfume,Women,,,,504.00,10,"['100ml', '50ml']",100,131.1,372.90,47.0,
27,,2724259810934.0,Davidoff,New,3414200204415.0,,,Woody & Musky,,"Top Notes: Tea Leaf, Mandarin Orange, Bergamot, Pepper, Lemon Mate
Middle Notes: Pimento, Sesame
Base Notes: Cedar, Vetiver, White Musk",Eau de Toilette,,2724267011880,Adventure,"Adventure by Davidoff for Men - Eau de Toilette, 100ml",4.1 out of 5,Ù…Ù†ØªØ¬Ø§Øª Ø£ØµÙ„ÙŠØ© All products are original 100% Ù‚Ù… Ø¨Ø²ÙŠØ§Ø±Ø© Ù…ØªØ¬Ø±Ù†Ø§ AMLAQ ÙˆØ§Ø¶ØºØ· Ø¹Ù„Ù‰ Ø§Ø³Ù… Ø§Ù„Ù…ØªØ¬Ø± ÙˆØ¥Ø¶Ø§Ù�Ø© Ø§Ù„Ù…Ù†ØªØ¬Ø§Øª Ù…Ù†Ù‡ ÙˆØ³ÙˆÙ� ØªØµÙ„Ùƒ Ù�ÙŠ Ø´Ø­Ù†Ù‡ ÙˆØ§Ø­Ø¯Ù‡,100ml,AMLAQ,Men,,,,231.00,77,"['100ml', '50ml']",91.3,146.56,84.44,317.0,
28,,2724266415078.0,Elizabeth Arden,New,85805558420.0,,,Oriental Floral,,"Top Notes: Orange Blossom, Plum, Violet, Peach, Anise, Rose
Middle Notes: Honey, Carnation, Tuberose, Orchid, Freesia, Lily, Jasmine, Ylang-Ylang, LilTop Notes: Orange Blossom, Plum, Violet, Peach, Anise, Rose
Middle Notes: Honey, Carnation, Tuberose, Orchid, Freesia, Lily, Jasmine, Ylang-Ylang, Lily-of-the-Valley, Rose
Base Notes: Sandalwood, Amber, Musk, Benzoin, Vetiver, Heliotrope, CedarÂ Read more",Eau de Toilette,,2724294084802,Red Door,"Red Door by Elizabeth Arden for Women - Eau de Toilette, 100ml",4.3 out of 5,,100ml,souq-shop,Women,,85805558420,,168.00,18,"['100ml', '50ml']",90,65.01,102.99,83.0,
29,,2724265664170.0,Carolina Herrera,,8858773428240.0,,,Oriental Spicy,,"Top Notes: Bergamot, Grapefruit, Grass
Middle Notes: Saffron, Nutmeg, Woodsy Notes, Jasmine, Violet
Base Notes: Oakmoss, Amber, Vanilla, Leather, SugaTop Notes: Bergamot, Grapefruit, Grass
Middle Notes: Saffron, Nutmeg, Woodsy Notes, Jasmine, Violet
Base Notes: Oakmoss, Amber, Vanilla, Leather, Sugar Vetiver, Sandalwood, Suede, CashmirwoodÂ Read more",Eau de Toilette,,2724290204778,CH,not present,3.9 out of 5,,100ml,,Men,Perfumes & Fragrances,,,420.00,35,"['100ml', '200ml', '50ml']",88.2,186.0,234.00,168.0,
30,,,Davidoff,New,3607342359789.0,,,Aromatic Aquatic,,"Top Notes: Mint , Lavender, Coriander, Rosemary
Middle Notes: Geranium, Neroli, Jasmine, Sandalwood
Base Notes: Cedarwood, Musk, Amber, Tobacco",Eau de Toilette,,2724271560435,Cool Water,"Cool Water by Davidoff for Men - Eau de Toilette, 200ml",4.4 out of 5,,200ml,WARDAT45,Men,,,,187.95,67,"['200ml', '75ml', '125ml']",88.9,0.95,187.00,243.0,
31,,2724295865608.0,Dolce & Gabbana,New,,,,Oriental Floral,,"Top Notes: Mandarin Orange, Bergamot, Litchi, Peach
Middle Notes: Lily
Base Notes: Vanilla, Amber, Musk",Eau de Parfum,,2724296500324,The One Collector,"The One Collector by Dolce & Gabbana for Women - Eau de Parfum, 75ml",4.2 out of 5,,75ml,SEOOF,Women,,73705283351,,719.00,90,"['75ml', '50ml']",95.2,479.01,239.99,306.0,
32,,8411061786338.0,Carolina Herrera,New,8411061786338.0,,,Floral & Fruity,,,Eau de Toilette,,2724311764915,CH Men Prive,"CH Men Prive by Carolina Herrera for Men - Eau de Toilette, 100ml",4.5 out of 5,,100ml,King-Perfume,Men,,,,420.00,82,"['100ml', '50ml']",92.7,192.86,227.14,320.0,
33,,2724259784242.0,Yves Saint Laurent,New,3365440332546.0,,,Floral & Fruity,,"Top Notes: Amalfi Lemon, Peony, Litchi
Middle Notes: Jasmine, Pink Pepper, Rose, Freesia
Base Notes: Vetiver, Patchouli, Cedar, Ambrette (Musk Mallow)",Eau de Parfum,,2724277191534,Elle,"Elle by Yves Saint Laurent for Women - Eau de Parfum, 90 ml",4.5 out of 5,,90ml,souq-shop,Women,,,,not present,44,"['90ml', '50ml']",96.3,0.0,420.00,198.0,
34,,737052972305.0,Hugo Boss,New,737052972305.0,,,,,,Eau de Toilette,,2724311761686,The Scent,"The Scent by Hugo Boss for Men - Eau de Toilette, 100ml",4.2 out of 5,,100ml,WARDAT45,Men,,737052972305,,431.00,248,"['100ml', '50ml']",94.6,253.09,177.91,1079.0,
35,,,Versace,New,8011003804566.0,,,Floral & Fruity,,,Eau de Toilette,,2724269812362,Yellow Diamond,"Yellow Diamond by Versace for Women - Eau de Toilette, 90ml",4.4 out of 5,,90ml,souq-shop,Women,,,,188.00,30,"['90ml', '85ml', '30ml', '50ml']",100,33.01,154.99,124.0,
36,,2724265827773.0,Bvlgari,New,,,,Aromatic,,"Top Notes: Petitgrain, Orange, Mandarin Orange
Middle Notes: Seaweed, Lavender, Cotton Flower
Base Notes: Patchouli, Virginia Cedar, Woodsy Notes, AmbTop Notes: Petitgrain, Orange, Mandarin Orange
Middle Notes: Seaweed, Lavender, Cotton Flower
Base Notes: Patchouli, Virginia Cedar, Woodsy Notes, Amber, Clary SageÂ Read more",Eau de Toilette,,2724259925430,Aqva Pour Homme,"Aqva Pour Homme by Bvlgari for Men - Eau de Toilette, 100ml",4.4 out of 5,,100ml,AMLAQ,Men,,783320911521,,not present,105,"['100ml', '150ml', '50ml']",91.4,-208.44,208.44,549.0,
37,,2724271266375.0,Gucci,New,,,,Floral Woody Musk,,"Top Notes: Bergamot and Blackberry
Middle Notes: White Flowers, Musk and Orange Blossom
Base Notes: Woody Notes, Patchouli and Sandalwood",Eau de Parfum,,2724294176040,Gucci Premiere,"Gucci Premiere by Gucci for Women - Eau de Parfum, 50ml",4 out of 5,,50ml,AMLAQ,Women,,737052495576,,490.00,6,"['75ml', '50ml']",80,290.0,200.00,26.0,
38,,2724265857510.0,Paco Rabanne,New,3349668111343.0,,,Woody,,"Bergamot, Lemon, Rosemary, Tarragon, Geranium, Rose, Juniper berry, Mint, Sandal, Musk, Patchouli and Vanilla",Eau de Toilette,,2724277190520,XS,"XS by Paco Rabanne for Men - Eau de Toilette, 100ml",4.3 out of 5,,100ml,SEOOF,Men,,,,199.00,41,"['100ml', '30ml']",94.4,54.0,145.00,179.0,
39,,,Dior,,3348901123020.0,3348901123020.0,,Floral & Fruity,,"Fragrance Notes: Bergamot, Rose, Patchouli, Amber, Cedar Sandalwood, Oakmoss",Eau de Parfum,3348901123020.0,2724298951896,Dior,not present,4 out of 5,,125ml,,Women,,3348901123020,3348901123020,"1,942.00",10,"['125ml', '250ml']",100,792.0,"1,150.00",32.0,
40,,,Gucci,New,,,,,,,Eau de Toilette,,2724285042392,Flora Gracious Gardenia,"Flora Gorgeous Gardenia by Gucci for Women - Eau de Toilette, 100ml",4.1 out of 5,Ø§Ø¶ØºØ·Ùˆ Ø¹Ù„Ù‰ Ø§Ø³Ù… Ø§Ù„Ù…ØªØ¬Ø± Seoof Ù„Ù„Ù…Ø²ÙŠØ¯ Ù…Ù† Ø§Ù„Ø¹Ø±ÙˆØ¶ Check out Seoof for more offers,100ml,SEOOF,Women,,,,440.00,5,"['100ml', '30ml', '50ml']",100,242.4,197.60,35.0,
41,,2724259641606.0,Dunhill,New,85715802521.0,,,"Citrus smells, Flowers, Woods and Mosses, Spices",,"grapefruit, rhuburb, lavender, cedar, pepper, sandalwood and vanille",Eau de Toilette,,2724271879438,Dunhill,"51.3 N by Alfred Dunhill for Men - Eau de Toilette, 100ml",3.9 out of 5,,100ml,souq-shop,Men,,85715802521,85715802521,142.00,19,"['100ml', '50ml']",66.7,21.51,120.49,81.0,
42,,2724263003414.0,Hugo Boss,New,737052006468.0,7370520064680.0,,Aromatic Fougere,,"Top Notes: Pink Pepper, Mandarin Orange, Grapefruit, Bergamot
Middle Notes: Star Anise, Cedar Needles, Geranium
Base Notes: Patchouli, Musk, Vetiver",Eau de Toilette,7370520064680.0,2724266336878,Hugo Boss,"Boss Selection by Hugo Boss for Men - Eau de Toilette, 90ml",4.1 out of 5,,90ml,King-Perfume,Men,,7370520064680.00,7370520064680.00,373.00,28,"['90ml', '50ml']",90,228.14,144.86,76.0,
43,,2724265808338.0,Burberry,,3386460018487.0,,,Floral Woody Musk,,"Top Notes: Mandarin Orange, Salt, Ginger
Middle Notes: Petitgrain, Honeysuckle, Magnolia, Solar Notes
Base Notes: Musk, Virginia Cedar, Vetiver, Sand",Eau de Toilette,,2724267189879,Sport,not present,4.5 out of 5,,75ml,,Women,,5045379571459,,336.00,37,"['75ml', '50ml']",92.6,201.0,135.00,126.0,
44,,2724265852805.0,Calvin Klein,New,,,,Oriental,,"Top Notes: Pomegranate
Middle Notes: Lotus, Orchid
Base Notes: Violet, Amber, Musk, Mahogany",Eau de Parfum,,2724268648719,Euphoria,"Euphoria by Calvin Klein for Women - Eau de Parfum, 50ml",4.5 out of 5,,50ml,AMLAQ,Women,,883001625670,,294.00,40,"['160ml', '100ml', '95ml', '50ml']",100,189.01,104.99,156.0,
45,,,Lancome,,3147754035364.0,,,Aromatic,,,Eau de Toilette,,2724276627119,Hypnose Homme,not present,4.5 out of 5,,75ml,,Men,,,,473.00,11,['75ml'],75,242.0,231.00,45.0,
46,,,Burberry,,3386460035620.0,,,Woody & Musky,,"Top Notes: Lemon, Apple, Peach, Wormwood
Middle Notes: Rose, Tea, Jasmine, Sandalwood
Base Notes: Cashmere Wood, Vanilla, Musk, Amber",Eau de Toilette,,2724291521058,Body Tender,not present,4.5 out of 5,,85ml,,Women,,,,234.00,71,"['85ml', '60ml']",100,89.0,145.00,332.0,
47,,2724259811078.0,Davidoff,New,6979127762170.0,,,Oriental Spicy,,"Top Notes: Wormwood, Basil
Middle Notes: Paprika, Patchouli
Base Notes: Styrax, Benzoin",Eau de Toilette,,2724266877807,Hot Water,"Hot Water by Davidoff for Men - Eau de Toilette, 100ml",4.1 out of 5,,100ml,AMLAQ,Men,,,,not present,30,"['100ml', '110ml', '60ml']",86.4,-78.78,78.78,119.0,
48,,,Davidoff,New,3607342808188.0,,,Oriental & Spicy,,"Top Notes: Campari, Vermouth, Red Berries, Bitter Orange, Lemon Clary Sage
Middle Notes: Cedar, Orange Blossom
Base Notes: Tonka Bean, Hay, Coumarin, Top Notes: Campari, Vermouth, Red Berries, Bitter Orange, Lemon Clary Sage
Middle Notes: Cedar, Orange Blossom
Base Notes: Tonka Bean, Hay, Coumarin, CaramelÂ Read more",Eau de Toilette,,2724299056743,The Brilliant Game,"The Brilliant Game by Davidoff for Men - Eau de Toilette, 100ml",4.2 out of 5,,100ml,AMLAQ,Men,,,,389.00,249,"['100ml', '60ml']",93.5,306.1,82.90,901.0,
49,,2724271472028.0,Bvlgari,New,7833208812820.0,,,Woody,,"Top Notes: Cardamom, Sandalwood
Middle Notes: Juniper, Ginger, Galanga
Base Notes: Teak Wood, Tobacco blossom, Green Leaves",Eau de Toilette,,2724267189992,BLV Pour Homme,"BLV Pour Homme by Bvlgari for Men - Eau de Toilette, 100ml",4.5 out of 5,,100ml,WARDAT45,Men,,783320881596,,300.00,70,"['100ml', '50ml']",96.8,135.59,164.41,239.0,
50,,2724265568706.0,Yves Saint Laurent,New,3365440258914.0,,,Oriental,,"Clementine, Almond Blossom, Cyclamen, Jasmine, Peony, Amaryllis, Amber, Musk and Sweet Powdery Vanilla",Eau de Parfum,,2724294090568,Cinema,"Cinema by Yves Saint Laurent for Women - Eau de Parfum, 50ml",4 out of 5,Ø§Ø¶ØºØ·Ùˆ Ø¹Ù„Ù‰ Ø§Ø³Ù… Ø§Ù„Ù…ØªØ¬Ø± Seoof Ù„Ù„Ù…Ø²ÙŠØ¯ Ù…Ù† Ø§Ù„Ø¹Ø±ÙˆØ¶ Check out Seoof for more offers,50ml,SEOOF,Women,,,,not present,31,"['90ml', '50ml']",96.4,-240.0,240.00,99.0,
51,,2724267673620.0,Hugo Boss,New,,,,Floral & Fruity,,"Melon, Oak Moss, Cyclamen, Granny Smith Apple, Cassis, Orris Root, Jasmine, Water Hyacinth, Lily, Virginia Cedar, Sandalwood, Resin, Amber, Orchid andMelon, Oak Moss, Cyclamen, Granny Smith Apple, Cassis, Orris Root, Jasmine, Water Hyacinth, Lily, Virginia Cedar, Sandalwood, Resin, Amber, Orchid and VanilleÂ Read more",Eau de Parfum,,2724294086844,Hugo Woman,"Hugo Woman by Hugo Boss for Women - Eau de Parfum, 75ml",4.3 out of 5,,75ml,AMLAQ,Women,,737052893914,,288.75,36,['75ml'],94.1,144.86,143.89,105.0,
52,,2724275584703.0,Dior,New,3348901011303.0,,,Oriental Floral,,"Top Notes: Labdanum
Middle Notes: Patchouli
Base Notes: Sandalwood, Rose, Agarwood (Oud)",Eau de Parfum,,2724273751435,Oud Ispahan,"Oud Ispahan by Dior for Men & Women - Eau de Parfum , 250ml",4.1 out of 5,,250ml,souq-shop,Unisex,,,,"1,784.00",20,"['250ml', '125ml']",100,166.01,"1,617.99",64.0,
